Партія,ТВО,№Р,Кандидат,Голосів,Голосів словами,%,Обраний?
ОПЗЖ,3,2,Ареф’єв Сергій Олегович,499,чотириста дев'яносто дев'ять,"1,08",Не пройшов
Європейська солідарність,8,4,Ніцевич Мар’яна Олександрівна,293,двісті дев'яносто три,"1,08",Не пройшов
Голос,12,3,Ніколєнко Іван Васильович,790,сімсот дев'яносто,"1,06",Не пройшов
Європейська солідарність,12,6,Демченко Лідія Трохимівна,788,сімсот вісімдесят вісім,"1,06",Не пройшов
Європейська солідарність,12,7,Кузьменко Дмитро Віталійович,784,сімсот вісімдесят чотири,"1,05",Не пройшов
Слуга народу,4,2,Обущак Іван Анатолійович,493,чотириста дев'яносто три,"1,05",Не пройшов
Голос,10,2,Олійник Олена Василівна,451,чотириста п'ятдесят один,"1,05",Не пройшов
УДАР,5,4,Іващенко Петро Борисович,451,чотириста п'ятдесят один,"1,05",Не пройшов
Народовладдя,11,1,Антоненко Прохор Дмитрович,434,чотириста тридцять чотири,"1,04",Партія не пройшла
Європейська солідарність,7,3,Любченко Денис Олегович,751,сімсот п'ятдесят один,"1,03",Не пройшов
Сила і честь,13,1,Возняк Олександр Михайлович,576,п'ятсот сімдесят шість,"1,03",Партія не пройшла
УДАР,4,8,Яківець Віталій Олександрович,485,чотириста вісімдесят п'ять,"1,03",Не пройшов
Слуга народу,3,2,Буханевич Андрій Іванович,477,чотириста сімдесят сім,"1,03",Не пройшов
УДАР,12,2,Довбань Ігор Миколайович,760,сімсот шістдесят,"1,02",Не пройшов
ОПЗЖ,12,2,Крамаренко Руслан Михайлович,757,сімсот п'ятдесят сім,"1,02",Не пройшов
ОПЗЖ,7,3,Коваленко Ірина Василівна,741,сімсот сорок один,"1,02",Не пройшов
Демократична сокира,1,1,Котов Тарас Олександрович,588,п'ятсот вісімдесят вісім,"1,02",Партія не пройшла
Слуга народу,3,7,Кулеба Анастасія Володимирівна,474,чотириста сімдесят чотири,"1,02",Не пройшов
Європейська солідарність,1,4,Крук Сергій Іванович,579,п'ятсот сімдесят дев'ять,"1,01",Не пройшов
Європейська солідарність,10,5,Курілін Олександр Сергійович,434,чотириста тридцять чотири,"1,01",Не пройшов
Європейська солідарність,6,10,Павленко Тетяна Олександрівна,431,чотириста тридцять один,"1,01",Не пройшов
УДАР,11,3,Карецька Соня Дмитрівна,421,чотириста двадцять один,"1,01",Не пройшов
УДАР,11,6,Довгаль Галина Петрівна,421,чотириста двадцять один,"1,01",Не пройшов
Слуга народу,1,2,Романенко Євген Олександрович,574,п'ятсот сімдесят чотири,1,Не пройшов
УДАР,6,4,Лимар Юлія Володимирівна,428,чотириста двадцять вісім,1,Міський список
УДАР,8,6,Бричук Костянтин Григорович,272,двісті сімдесят два,1,Не пройшов
Голос,7,2,Кепліна Юлія Олександрівна,723,сімсот двадцять три,"0,99",Не пройшов
